 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133
1,3667,3667,21954,21954,13276,13276,12322,12322,12030,12030,23504,23504,15660,15660,16088,16088,75377,75377,14086,14086,22285,22285,46622,46622,16059,16059,19260,19260,46602,46602,2563,2563,8770,8770,30429,30429,48360,48360,25582,25582,13280,13280,19183,19183,14858,14858,16350,16350,2834,2834,10766,10766,27186,27186,48062,48062,20198,20198,25543,25543,48639,48639,29103,29103,10347,10347,22408,22408,31029,31029,83005,83005,15755,15755,35324,35324,37264,37264,34271,34271,40718,40718,33405,33405,19847,19847,6122,6122,43473,43473,10983,10983,13527,13527,47884,47884,92675,92675,60823,60823,14402,14402,21674,21674,6722,6722,76567,76567,17489,17489,27260,27260,10021,10021,13923,13923,24014,24014,32986,32986,11713,11713,15046,15046,12317,12317,13985,13985,8789,8789,44707,44707,7458,7458,23285,23285,28506,28506,28105,28105,36680,36680,10426,10426,24207,24207,12205,12205,18099,18099,21003,21003,44412,44412,26011,26011,47831,47831,13727,13727,24192,24192,17318,17318,11904,11904,18207,18207,10012,10012,8735,8735,72276,72276,13297,13297,16825,16825,7339,7339,86712,86712,5917,5917,11499,11499,20449,20449,44577,44577,15793,15793,41069,41069,18926,18926,15366,15366,13368,13368,41283,41283,4796,4796,7093,7093,3993,3993,18922,18922,16093,16093,28328,28328,35037,35037,1196,1196,21138,21138,18724,18724,20508,20508,15658,15658,8639,8639,13357,13357,15939,15939,4140,4140,10304,10304,14750,14750,5690,5690,10506,10506,7776,7776,12191,12191,10431,10431,7622,7622,7119,7119,77312,77312,15081,15081,7031,7031,12912,12912,13765,13765,25818,25818,26360,26360
2,3586,3586,22384,22384,12955,12955,12361,12361,12477,12477,24083,24083,17738,17738,16417,16417,76134,76134,14633,14633,23662,23662,46452,46452,16182,16182,18573,18573,48027,48027,2392,2392,8617,8617,30796,30796,48362,48362,25805,25805,13336,13336,18735,18735,15405,15405,15783,15783,3068,3068,10960,10960,27633,27633,57070,57070,20021,20021,25457,25457,49018,49018,29297,29297,9898,9898,22432,22432,32547,32547,96113,96113,15564,15564,41238,41238,38181,38181,35409,35409,38625,38625,29900,29900,20077,20077,6059,6059,44057,44057,12048,12048,13644,13644,45922,45922,91108,91108,59906,59906,14566,14566,21952,21952,7196,7196,77669,77669,17207,17207,27199,27199,11690,11690,14225,14225,24084,24084,31788,31788,11469,11469,17132,17132,14497,14497,14022,14022,8785,8785,43514,43514,7651,7651,24493,24493,29176,29176,28169,28169,31687,31687,10715,10715,24137,24137,12485,12485,18084,18084,20960,20960,44565,44565,26890,26890,46990,46990,13700,13700,24650,24650,17194,17194,11654,11654,18168,18168,10080,10080,8815,8815,77978,77978,13413,13413,17192,17192,7425,7425,88938,88938,5719,5719,11391,11391,20549,20549,51078,51078,15109,15109,41905,41905,19227,19227,15570,15570,13899,13899,40502,40502,4865,4865,7345,7345,3941,3941,18561,18561,16238,16238,28328,28328,39207,39207,1211,1211,21178,21178,19075,19075,20396,20396,16494,16494,8462,8462,13047,13047,16757,16757,4292,4292,10451,10451,15356,15356,6019,6019,10849,10849,8313,8313,12817,12817,10937,10937,7501,7501,7240,7240,72640,72640,15487,15487,6977,6977,13066,13066,13967,13967,25933,25933,25401,25401
3,3530,3530,23063,23063,13444,13444,12704,12704,13350,13350,24882,24882,21024,21024,16459,16459,77305,77305,14567,14567,25447,25447,47685,47685,16281,16281,18470,18470,47271,47271,2530,2530,8714,8714,30921,30921,49776,49776,26743,26743,14001,14001,18877,18877,16968,16968,16558,16558,2811,2811,11538,11538,28764,28764,61100,61100,20432,20432,25263,25263,49165,49165,29892,29892,9606,9606,23762,23762,35287,35287,114675,114675,16160,16160,44423,44423,39630,39630,36543,36543,36644,36644,28908,28908,20515,20515,6048,6048,49226,49226,13996,13996,13778,13778,47138,47138,92181,92181,59816,59816,15039,15039,22293,22293,7426,7426,74563,74563,17279,17279,26767,26767,18757,18757,14340,14340,24906,24906,32535,32535,11737,11737,18975,18975,17844,17844,13682,13682,8680,8680,42636,42636,7639,7639,27202,27202,30102,30102,28643,28643,28517,28517,10781,10781,25162,25162,12482,12482,18514,18514,21594,21594,45253,45253,27349,27349,47433,47433,14067,14067,25435,25435,17165,17165,12030,12030,18933,18933,9838,9838,9302,9302,75015,75015,13497,13497,17718,17718,7754,7754,93123,93123,5501,5501,12099,12099,21764,21764,62795,62795,15344,15344,44257,44257,18042,18042,15989,15989,13752,13752,41677,41677,4603,4603,7054,7054,3874,3874,18833,18833,16855,16855,28534,28534,47770,47770,1225,1225,20640,20640,19139,19139,20967,20967,19033,19033,8512,8512,13355,13355,17704,17704,4449,4449,11058,11058,16488,16488,6434,6434,11358,11358,8516,8516,13240,13240,11435,11435,7725,7725,7285,7285,69576,69576,16037,16037,6939,6939,13251,13251,14056,14056,24823,24823,25172,25172
4,3764,3764,23884,23884,14143,14143,13847,13847,13340,13340,25478,25478,24459,24459,16646,16646,78346,78346,14884,14884,25736,25736,47669,47669,16786,16786,18956,18956,50870,50870,2577,2577,8866,8866,30555,30555,51582,51582,27154,27154,14468,14468,19060,19060,18176,18176,16329,16329,3161,3161,11688,11688,29421,29421,63010,63010,20295,20295,25949,25949,48737,48737,30381,30381,9031,9031,25451,25451,36408,36408,132317,132317,15989,15989,44249,44249,40737,40737,36316,36316,32704,32704,27817,27817,20645,20645,6407,6407,56961,56961,14550,14550,13737,13737,52814,52814,93519,93519,60822,60822,15144,15144,24828,24828,7525,7525,68536,68536,17402,17402,27501,27501,21305,21305,14855,14855,25669,25669,37404,37404,11175,11175,19547,19547,19409,19409,14442,14442,8316,8316,42595,42595,7863,7863,29084,29084,36053,36053,30084,30084,26279,26279,10574,10574,25501,25501,13075,13075,19188,19188,21497,21497,45436,45436,27977,27977,48142,48142,14494,14494,27123,27123,18826,18826,11608,11608,19334,19334,9744,9744,9148,9148,72282,72282,13075,13075,17175,17175,7922,7922,98909,98909,5768,5768,12202,12202,22357,22357,74562,74562,15387,15387,46107,46107,17015,17015,15930,15930,14113,14113,42532,42532,5026,5026,7287,7287,4037,4037,18837,18837,17210,17210,28298,28298,65318,65318,1197,1197,21087,21087,19583,19583,20769,20769,22374,22374,8398,8398,13453,13453,18638,18638,4570,4570,10560,10560,17608,17608,6622,6622,12404,12404,8915,8915,14201,14201,11912,11912,7376,7376,7298,7298,68288,68288,16113,16113,6949,6949,13020,13020,13902,13902,24539,24539,24487,24487
5,3657,3657,24461,24461,15045,15045,13947,13947,13916,13916,26583,26583,29648,29648,17262,17262,79257,79257,14971,14971,24561,24561,49487,49487,17021,17021,18959,18959,56067,56067,2559,2559,9443,9443,31517,31517,52008,52008,26386,26386,15670,15670,19040,19040,18445,18445,15887,15887,3189,3189,11744,11744,30306,30306,63434,63434,20937,20937,26052,26052,48898,48898,31350,31350,9042,9042,31920,31920,37598,37598,138292,138292,16249,16249,44149,44149,40964,40964,37340,37340,30326,30326,28055,28055,20558,20558,6284,6284,60585,60585,13970,13970,14007,14007,58602,58602,91874,91874,66035,66035,15286,15286,32345,32345,7512,7512,64240,64240,18059,18059,27470,27470,20606,20606,14570,14570,26509,26509,45325,45325,11416,11416,20231,20231,19353,19353,14227,14227,8673,8673,43579,43579,7777,7777,28850,28850,39447,39447,31813,31813,24184,24184,10881,10881,26319,26319,13097,13097,19099,19099,21896,21896,46545,46545,28273,28273,49843,49843,14622,14622,32269,32269,20079,20079,11526,11526,19484,19484,10220,10220,9610,9610,67889,67889,13152,13152,17717,17717,8662,8662,101886,101886,6077,6077,12212,12212,24251,24251,82634,82634,15743,15743,49283,49283,16958,16958,16311,16311,14625,14625,43604,43604,5090,5090,7235,7235,4020,4020,19481,19481,17223,17223,28616,28616,77612,77612,1200,1200,21170,21170,19777,19777,21071,21071,24464,24464,8624,8624,13133,13133,19817,19817,4394,4394,11083,11083,18203,18203,6840,6840,13042,13042,8983,8983,14997,14997,12345,12345,7822,7822,7618,7618,64931,64931,16423,16423,7162,7162,13733,13733,14031,14031,24494,24494,24707,24707
6,3652,3652,25457,25457,15260,15260,14183,14183,14299,14299,27099,27099,33324,33324,17301,17301,80264,80264,15608,15608,22074,22074,49050,49050,17639,17639,19321,19321,54095,54095,2636,2636,9669,9669,32271,32271,52533,52533,26996,26996,16719,16719,19369,19369,18874,18874,15803,15803,3208,3208,12707,12707,31091,31091,64749,64749,22078,22078,26025,26025,49079,49079,31167,31167,9617,9617,33843,33843,37768,37768,142653,142653,16360,16360,44503,44503,41909,41909,39076,39076,28052,28052,27779,27779,21205,21205,6553,6553,61925,61925,14080,14080,13785,13785,57482,57482,90182,90182,87115,87115,15439,15439,38611,38611,7752,7752,60529,60529,19266,19266,27326,27326,20072,20072,14482,14482,31474,31474,46854,46854,11459,11459,20205,20205,19050,19050,14890,14890,8433,8433,42737,42737,8026,8026,29434,29434,38818,38818,35680,35680,23360,23360,10720,10720,25889,25889,12802,12802,20124,20124,22303,22303,47240,47240,29317,29317,50417,50417,14967,14967,37107,37107,21770,21770,11652,11652,19598,19598,10301,10301,9762,9762,63898,63898,13474,13474,17589,17589,9038,9038,107788,107788,6045,6045,12145,12145,26642,26642,89164,89164,15781,15781,54706,54706,16571,16571,16718,16718,14904,14904,45014,45014,4712,4712,7370,7370,4127,4127,19837,19837,17727,17727,28632,28632,81873,81873,1230,1230,21151,21151,20565,20565,21677,21677,29853,29853,8567,8567,13442,13442,21060,21060,4651,4651,11232,11232,19658,19658,7124,7124,13629,13629,9257,9257,15731,15731,13300,13300,7811,7811,7314,7314,64449,64449,16678,16678,7267,7267,13965,13965,14611,14611,24495,24495,24138,24138
7,4132,4132,25247,25247,15402,15402,15027,15027,14493,14493,28046,28046,36485,36485,17710,17710,82036,82036,15928,15928,21334,21334,50907,50907,17727,17727,20128,20128,51232,51232,2614,2614,9905,9905,33309,33309,53417,53417,27422,27422,16755,16755,19790,19790,18669,18669,15704,15704,3263,3263,13422,13422,31087,31087,67166,67166,22906,22906,26790,26790,49847,49847,32077,32077,8561,8561,33129,33129,38692,38692,143332,143332,16208,16208,44414,44414,42418,42418,48743,48743,26714,26714,28793,28793,21404,21404,6773,6773,62813,62813,13861,13861,13857,13857,57550,57550,90281,90281,138580,138580,15313,15313,39823,39823,7605,7605,58512,58512,26536,26536,27490,27490,19712,19712,14672,14672,42316,42316,48079,48079,11570,11570,21870,21870,17229,17229,14513,14513,8417,8417,43114,43114,8683,8683,28980,28980,38450,38450,43119,43119,22908,22908,10854,10854,26326,26326,13065,13065,19807,19807,22071,22071,47838,47838,29568,29568,50605,50605,14864,14864,39946,39946,22730,22730,11764,11764,20202,20202,9799,9799,9959,9959,60796,60796,13541,13541,18228,18228,9375,9375,110765,110765,6054,6054,12290,12290,28582,28582,88209,88209,15851,15851,63790,63790,16226,16226,16695,16695,15173,15173,46467,46467,4927,4927,7498,7498,4081,4081,20003,20003,17703,17703,28376,28376,86097,86097,1207,1207,21610,21610,20178,20178,22056,22056,35188,35188,8842,8842,13181,13181,21866,21866,4615,4615,11640,11640,20468,20468,7912,7912,13982,13982,9548,9548,16671,16671,13720,13720,7552,7552,7332,7332,62870,62870,17641,17641,7262,7262,14274,14274,14256,14256,24117,24117,24226,24226
8,4227,4227,26140,26140,16201,16201,15032,15032,15165,15165,27997,27997,40151,40151,17502,17502,81523,81523,15894,15894,20821,20821,51332,51332,18495,18495,20869,20869,50649,50649,2690,2690,9724,9724,39191,39191,54183,54183,27714,27714,18330,18330,19679,19679,19386,19386,15220,15220,3366,3366,13860,13860,31355,31355,67200,67200,23236,23236,26794,26794,48923,48923,32375,32375,8797,8797,33471,33471,40795,40795,141296,141296,16324,16324,44177,44177,43726,43726,66688,66688,25242,25242,29620,29620,21596,21596,6482,6482,62590,62590,14149,14149,13849,13849,57157,57157,89254,89254,184955,184955,15540,15540,39371,39371,7545,7545,58115,58115,42933,42933,28047,28047,19651,19651,14950,14950,47832,47832,47780,47780,11648,11648,23947,23947,14540,14540,14952,14952,8715,8715,43620,43620,8268,8268,29715,29715,38155,38155,57257,57257,22654,22654,11031,11031,27606,27606,13707,13707,20484,20484,22530,22530,48661,48661,29627,29627,50894,50894,15022,15022,40201,40201,23394,23394,11666,11666,20759,20759,10318,10318,9982,9982,57999,57999,14194,14194,19072,19072,9325,9325,111709,111709,5636,5636,12084,12084,35136,35136,81928,81928,16206,16206,79315,79315,15951,15951,16945,16945,16572,16572,49113,49113,4937,4937,7454,7454,4127,4127,19954,19954,17826,17826,28203,28203,86274,86274,948,948,21154,21154,20660,20660,22028,22028,34481,34481,8583,8583,13599,13599,23875,23875,4857,4857,12002,12002,21595,21595,8076,8076,14939,14939,9733,9733,17054,17054,14530,14530,7661,7661,7406,7406,60530,60530,17521,17521,7513,7513,14631,14631,14548,14548,24528,24528,24157,24157
9,6083,6083,27087,27087,16409,16409,15781,15781,15296,15296,28986,28986,39519,39519,18006,18006,82401,82401,16770,16770,20640,20640,51860,51860,18317,18317,21034,21034,48973,48973,2759,2759,10118,10118,58155,58155,54780,54780,28727,28727,17957,17957,20229,20229,19243,19243,16262,16262,3447,3447,14134,14134,32119,32119,69798,69798,22848,22848,26295,26295,49534,49534,32500,32500,8755,8755,33349,33349,42262,42262,139759,139759,16856,16856,44017,44017,56038,56038,79215,79215,25153,25153,29523,29523,22077,22077,6549,6549,63288,63288,14012,14012,14084,14084,55595,55595,86310,86310,195968,195968,15502,15502,39210,39210,7772,7772,59338,59338,46906,46906,28141,28141,19606,19606,15011,15011,49260,49260,49020,49020,11399,11399,27236,27236,13567,13567,14691,14691,8400,8400,44198,44198,8600,8600,30328,30328,38099,38099,69153,69153,22509,22509,11009,11009,30889,30889,13642,13642,21214,21214,22371,22371,49268,49268,29338,29338,51597,51597,15304,15304,39383,39383,22991,22991,11716,11716,21994,21994,10970,10970,10533,10533,57149,57149,14353,14353,19812,19812,9504,9504,115054,115054,6206,6206,12225,12225,45175,45175,71403,71403,15728,15728,110295,110295,16245,16245,16619,16619,19327,19327,51282,51282,5189,5189,7453,7453,4407,4407,20096,20096,18236,18236,28367,28367,87534,87534,1004,1004,21449,21449,21290,21290,22592,22592,34096,34096,8731,8731,13364,13364,24615,24615,4984,4984,13608,13608,23053,23053,8635,8635,15628,15628,10470,10470,17610,17610,14991,14991,7516,7516,7381,7381,59466,59466,18083,18083,7473,7473,14703,14703,14994,14994,24573,24573,24009,24009
10,10007,10007,26969,26969,17287,17287,15578,15578,16047,16047,29652,29652,43318,43318,18189,18189,83636,83636,16621,16621,20250,20250,53228,53228,18767,18767,21543,21543,46801,46801,2716,2716,10303,10303,77428,77428,54722,54722,29721,29721,18450,18450,20395,20395,19696,19696,16625,16625,3422,3422,14196,14196,32596,32596,71841,71841,22464,22464,26366,26366,49529,49529,35277,35277,8852,8852,34050,34050,43268,43268,141676,141676,16785,16785,43947,43947,58497,58497,83567,83567,24957,24957,28662,28662,22352,22352,6400,6400,64022,64022,14082,14082,14056,14056,56101,56101,86192,86192,197818,197818,15237,15237,37933,37933,7725,7725,60719,60719,46698,46698,28442,28442,18705,18705,14828,14828,49488,49488,48177,48177,11556,11556,28184,28184,12352,12352,15056,15056,8498,8498,43796,43796,8571,8571,29841,29841,38375,38375,77722,77722,23562,23562,10881,10881,37782,37782,13749,13749,21667,21667,22784,22784,48792,48792,30418,30418,53429,53429,14998,14998,38519,38519,22527,22527,11830,11830,25721,25721,10599,10599,10694,10694,56679,56679,14423,14423,20239,20239,9832,9832,119585,119585,6055,6055,12598,12598,53227,53227,60656,60656,16423,16423,137270,137270,16493,16493,17191,17191,19250,19250,54959,54959,4937,4937,7473,7473,4116,4116,20724,20724,18394,18394,28342,28342,90496,90496,981,981,21099,21099,21510,21510,22598,22598,34840,34840,8349,8349,13522,13522,26336,26336,5229,5229,15666,15666,24953,24953,8905,8905,15649,15649,10744,10744,18453,18453,15873,15873,7694,7694,7635,7635,56509,56509,18963,18963,7574,7574,15733,15733,15070,15070,24033,24033,24359,24359
